site,transition_obs,logit_obs,transition_pred,logit_pred,state_start,state_end,year_end,year_start,density_end,prop_exposed_end,density_start,prop_exposed_start,den_exposed_start,ln_den_exp_start,ln_den_exp_end,den_conceiled_start,ln_den_conceiled_start,ln_prop_exp_start,ln_den_start
REF_050,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,15.375,0.971543576,21.3125,0.822081182,17.52060519,2.918883906,0.678816777,3.791894811,1.56692591,0.599979354,3.10514706
REF_051,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,10.8125,0.822136492,16.75,0.681838681,11.4207979,2.519372318,0.600009709,5.329202098,1.845174177,0.519887648,2.876385516
REF_054,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,15.125,0.907403165,25.125,0.995535714,25.01283482,3.258590063,0.645742717,0.112165178,0.106308726,0.690912543,3.26289271
REF_056,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,4.3125,0.085611264,7.3125,0.012231183,0.089440524,0.085664284,0.082143205,7.223059476,2.106942339,0.012156986,2.117760406
REF_058,BARREN,1,PERSIST,0,BAR,BAR,2018,2017,1.5,0.166666667,1.9375,0.226190476,0.438244048,0.363422958,0.15415068,1.499255952,0.915993069,0.203912189,1.077558879
REF_060,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,3.5625,0.269791667,2.625,0.053084416,0.139346591,0.130454932,0.238852845,2.485653409,1.248655518,0.051723397,1.287854288
REF_061,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,26.5,0.960676894,30.4375,0.969337206,29.50420122,3.417864419,0.673289768,0.933298781,0.659227757,0.677697043,3.448001448
REF_063,FOREST,1,PERSIST,0,FOR,FOR,2018,2017,3.4375,0.062009804,10.125,0.178552177,1.807840792,1.032415787,0.060163154,8.317159208,2.231857776,0.164286716,2.409194828
REF_065,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,14.8125,0.888252169,21.0625,0.692662686,14.58920782,2.746578868,0.635651623,6.473292181,2.011335622,0.526302843,3.093879335
REF_066,BARREN,1,BARREN,1,FOR,BAR,2018,2017,9.875,0.466254059,10.25,0.35155068,3.603394468,1.526793959,0.382710889,6.646605532,2.034261828,0.301252585,2.420368129
REF_067,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,15.75,0.675006085,13,0.589306007,7.660978085,2.158827659,0.515816798,5.339021916,1.846724485,0.463297447,2.63905733
REF_068,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,13.75,0.131768217,5.9375,0.015625,0.092773438,0.088718903,0.123781204,5.844726563,1.923478511,0.015504187,1.936941479
REF_069,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,4.875,0.4453125,12.5,0.519990079,6.499875991,2.014886486,0.368325561,6.000124009,1.945927865,0.418703808,2.602689685
REF_070,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,12.375,0.907291667,18.25,0.92967033,16.96648352,2.888507995,0.64568426,1.283516484,0.825716573,0.657349175,2.957511061
REF_071,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,5.3125,0.123048744,1.9375,0.049107143,0.095145089,0.090886856,0.11604708,1.842354911,1.044632902,0.047939462,1.077558879
REF_072,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,0,0,2.3125,0,0,0,0,2.3125,1.197703191,0,1.197703191
REF_073,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,2.5625,0.338690476,5.8125,0.497321429,2.890680804,1.358584156,0.29169188,2.921819196,1.366555627,0.403677798,1.91875916
REF_075,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,23.1875,0.969417109,24.5625,0.977628968,24.01301153,3.219396151,0.677737615,0.549488467,0.437924855,0.681898636,3.241126434
REF_076,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,1.875,0,9.375,0.020833333,0.1953125,0.178407657,0,9.1796875,2.320394313,0.020619287,2.339399066
REF_081,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,2.4375,0.538541667,4.625,0.569730392,2.635003064,1.290609954,0.430834998,1.989996936,1.095272363,0.45090388,1.727220948
REF_082,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,30.25,0.964183059,42,0.985127005,41.37533422,3.746566453,0.675076413,0.624665777,0.485302119,0.685682895,3.761200116
REF_083,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,0.25,0,0.5,0.09375,0.046875,0.045809536,0,0.453125,0.37371641,0.089612159,0.405465108
REF_084,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,1.75,0.041666667,1,0,0,0,0.040821995,1,0.693147181,0,0.693147181
REF_085,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,3.75,0.825,11.4375,0.869926948,9.949789468,2.393320229,0.601579987,1.487710532,0.911362823,0.625899365,2.520716102
REF_086,BARREN,1,BARREN,1,FOR,BAR,2018,2017,7.875,0.784688995,5.875,0.199588816,1.172584293,0.775917377,0.579244168,4.702415707,1.740889893,0.181978845,1.927891644
REF_090,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,33.8125,1,20.4375,0.929156322,18.98963232,2.995213755,0.693147181,1.447867677,0.89521731,0.657082768,3.065141725
