site,state_ending_obs,logit_obs,state_ending_lda,logit_lda,start_state,end_state,year_end,year_start,den_end,prop_exposed_end,den_start,prop_exposed_start,den_exposed_start,den_con_start
REF_071,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,5.3125,0.123048744,1.9375,0.049107143,0.095145089,1.842354911
REF_072,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,0,0,2.3125,0,0,2.3125
REF_073,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,2.5625,0.338690476,5.8125,0.497321429,2.890680804,2.921819196
REF_075,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,23.1875,0.969417109,24.5625,0.977628968,24.01301153,0.549488467
REF_076,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,1.875,0,9.375,0.020833333,0.1953125,9.1796875
REF_081,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,2.4375,0.538541667,4.625,0.569730392,2.635003064,1.989996936
REF_082,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,30.25,0.964183059,42,0.985127005,41.37533422,0.624665777
REF_083,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,0.25,0,0.5,0.09375,0.046875,0.453125
REF_084,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,1.75,0.041666667,1,0,0,1
REF_085,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,3.75,0.825,11.4375,0.869926948,9.949789468,1.487710532
REF_086,BARREN,1,BARREN,1,FOR,BAR,2018,2017,7.875,0.784688995,5.875,0.199588816,1.172584293,4.702415707
REF_090,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,33.8125,1,20.4375,0.929156322,18.98963232,1.447867677
REF_091,PERSIST,0,BARREN,1,FOR,BAR,2018,2017,8.9375,0.64243052,7.25,0.189230388,1.371920311,5.878079689
REF_092,BARREN,1,PERSIST,0,BAR,BAR,2018,2017,7.3125,0.844724026,1.75,0.119047619,0.208333333,1.541666667
REF_094,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,41.3125,0.989179816,73.25,0.978450176,71.67147542,1.578524582
REF_095,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,21.8125,0.956993332,25.25,1,25.25,0
REF_096,PERSIST,0,BARREN,1,FOR,BAR,2018,2017,31.125,0.811271825,1.875,0,0,1.875
REF_097,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,4,0.157891414,3.625,0.048958333,0.177473958,3.447526042
REF_099,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,18.3125,0.927010242,17,0.930238119,15.81404802,1.185951978
REF_003,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,3.625,0.016741071,0.4375,0.025,0.0109375,0.4265625
REF_004,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,3.9375,0.01171875,2.75,0.084517045,0.232421875,2.517578125
REF_005,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,13.75,0.950520833,10.6875,0.952715774,10.18214983,0.505350167
REF_006,FOREST,1,FOREST,1,BAR,FOR,2019,2018,0.5,0.0625,2.0625,0.219886364,0.453515625,1.608984375
REF_007,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,8.3125,0.901860119,6.9375,0.517134081,3.587617688,3.349882312
REF_008,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,25.6875,0.932040949,31.5625,0.979602563,30.91870588,0.643794121
REF_009,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,0.3125,0,0.4375,0,0,0.4375
REF_010,PERSIST,0,FOREST,1,BAR,FOR,2019,2018,2.133333333,0.218452381,9.25,0.926609849,8.571141099,0.678858901
REF_012,PERSIST,0,BARREN,1,FOR,BAR,2019,2018,28.3125,0.515032844,19.5625,0.35357611,6.916832652,12.64566735
REF_014,FOREST,1,FOREST,1,BAR,FOR,2019,2018,9.5625,0.112553123,9.3125,0.330902778,3.081532117,6.230967883
REF_015,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,3.75,0.0125,19.9375,0.155139323,3.093090246,16.84440975
REF_016,FOREST,1,FOREST,1,BAR,FOR,2019,2018,7.1875,0.205430857,8.0625,0.757386364,6.106427557,1.956072443
REF_017,FOREST,1,PERSIST,0,FOR,FOR,2019,2018,0,0,0,0,0,0
REF_019,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,16.3125,0.850952381,34.375,0.900877193,30.96765351,3.407346491
