"Param","Effect"
"Recruitment",0.0413531558574807
"Recruitment",0.128230297863263
"Recruitment",0.0244766933980621
"Recruitment",0.163809871930719
"Recruitment",0.109354658977292
"Recruitment",0.0743089249033403
"Recruitment",0.135239089039784
"Recruitment",0.023710394151722
"Recruitment",0.0333688145818159
"Recruitment",0.0517336395373007
"Recruitment",0.0537353036367825
"Recruitment",0.099647953538559
"Recruitment",0.215953976606354
"Recruitment",0.0403906188716925
"Recruitment",0.100653715981943
"Recruitment",0.0502342441139965
"Recruitment",0.0356401062720388
"Recruitment",0.0412187895946389
"Recruitment",0.123247459244418
"Recruitment",0.236157908844455
"Recruitment",0.0574887454810435
"Recruitment",0.0624537495919914
"Recruitment",0.158299079389361
"Recruitment",0.0221816084496207
"Recruitment",0.0295642986344419
"Recruitment",0.0246043428835083
"Recruitment",0.0942789144675288
"Recruitment",0.561032799529429
"Recruitment",0.0834158707066694
"Recruitment",0.0567139505652878
"Recruitment",0.132207654597067
"Recruitment",0.0383605588241404
"Recruitment",0.0316990311198019
"Recruitment",0.129853014903707
"Recruitment",0.0833567729032224
"Recruitment",0.390060027922119
"Recruitment",0.0537353036367825
"Recruitment",0.110186757449216
"Recruitment",0.160552288738313
"Recruitment",0.0252032902854073
"Recruitment",0.0647259462526918
"Recruitment",0.069136230389963
"Recruitment",0.0962672897112701
"Recruitment",0.0656875857094797
"Recruitment",0.0276407987929577
"Recruitment",0.192268723801001
"Recruitment",0.0504998865783433
"Recruitment",0.102423654984962
"Recruitment",0.546836720633945
"Recruitment",0.0532716917207224
"Recruitment",0.047136216793237
"Recruitment",0.0243272447257421
"Recruitment",0.108892084508913
"Recruitment",0.108525636507485
"Recruitment",0.15646334454733
"Recruitment",0.182614766031808
"Recruitment",0.0615597586958224
"Recruitment",0.214744567682303
"Recruitment",0.0591788330657348
"Recruitment",0.223877071482648
"Recruitment",0.0409687267100308
"Recruitment",0.0275023602397549
"Recruitment",0.0366471173471355
"Recruitment",0.0288969787951736
"Recruitment",0.0784201644265142
"Recruitment",0.0278954754619597
"Recruitment",0.125981579840398
"Recruitment",0.0548566851999907
"Recruitment",0.0908426688418661
"Recruitment",0.10517036749066
"Recruitment",0.0430318646599163
"Recruitment",0.163885841856403
"Recruitment",0.128094844974441
"Recruitment",0.0171387918371898
"Recruitment",0.0808037353475975
